t,l,R,eg
0.578000,0.880735,0.180099,0.442358
0.579000,0.880568,0.180398,0.442262
0.580000,0.880401,0.180697,0.442165
0.581000,0.880235,0.180995,0.442068
0.582000,0.880069,0.181294,0.441971
0.583000,0.879902,0.181593,0.441875
0.584000,0.879736,0.181892,0.441778
0.585000,0.879570,0.182190,0.441681
0.586000,0.879404,0.182489,0.441585
0.587000,0.879239,0.182787,0.441488
0.588000,0.879073,0.183086,0.441391
0.589000,0.878908,0.183384,0.441295
0.590000,0.878742,0.183682,0.441198
0.591000,0.878577,0.183981,0.441102
0.592000,0.878412,0.184279,0.441005
0.593000,0.878247,0.184577,0.440909
0.594000,0.878082,0.184875,0.440812
0.595000,0.877917,0.185173,0.440715
0.596000,0.877752,0.185471,0.440619
0.597000,0.877588,0.185769,0.440522
0.598000,0.877424,0.186067,0.440426
0.599000,0.877259,0.186364,0.440330
0.600000,0.877095,0.186662,0.440233
0.601000,0.876931,0.186960,0.440137
0.602000,0.876767,0.187257,0.440040
0.603000,0.876603,0.187555,0.439944
0.604000,0.876440,0.187852,0.439847
0.605000,0.876276,0.188149,0.439751
0.606000,0.876113,0.188447,0.439655
0.607000,0.875949,0.188744,0.439558
0.608000,0.875786,0.189041,0.439462
0.609000,0.875623,0.189338,0.439366
0.610000,0.875460,0.189635,0.439269
0.611000,0.875297,0.189932,0.439173
0.612000,0.875135,0.190229,0.439077
0.613000,0.874972,0.190526,0.438981
0.614000,0.874809,0.190823,0.438884
0.615000,0.874647,0.191119,0.438788
0.616000,0.874485,0.191416,0.438692
0.617000,0.874323,0.191713,0.438596
0.618000,0.874161,0.192009,0.438500
0.619000,0.873999,0.192306,0.438404
0.620000,0.873837,0.192602,0.438307
0.621000,0.873675,0.192898,0.438211
0.622000,0.873514,0.193195,0.438115
0.623000,0.873352,0.193491,0.438019
0.624000,0.873191,0.193787,0.437923
0.625000,0.873030,0.194083,0.437827
0.626000,0.872869,0.194379,0.437731
0.627000,0.872708,0.194675,0.437635
0.628000,0.872547,0.194971,0.437539
0.629000,0.872387,0.195267,0.437443
0.630000,0.872226,0.195562,0.437347
0.631000,0.872066,0.195858,0.437251
0.632000,0.871905,0.196154,0.437155
0.633000,0.871745,0.196449,0.437059
0.634000,0.871585,0.196745,0.436963
0.635000,0.871425,0.197040,0.436867
0.636000,0.871265,0.197335,0.436771
0.637000,0.871105,0.197631,0.436675
0.638000,0.870946,0.197926,0.436579
0.639000,0.870786,0.198221,0.436484
0.640000,0.870627,0.198516,0.436388
0.641000,0.870467,0.198811,0.436292
0.642000,0.870308,0.199106,0.436196
0.643000,0.870149,0.199401,0.436100
0.644000,0.869990,0.199696,0.436005
0.645000,0.869832,0.199990,0.435909
0.646000,0.869673,0.200285,0.435813
0.647000,0.869514,0.200580,0.435717
0.648000,0.869356,0.200874,0.435622
0.649000,0.869197,0.201169,0.435526
0.650000,0.869039,0.201463,0.435430
0.651000,0.868881,0.201757,0.435335
0.652000,0.868723,0.202052,0.435239
0.653000,0.868565,0.202346,0.435143
0.654000,0.868408,0.202640,0.435048
0.655000,0.868250,0.202934,0.434952
0.656000,0.868092,0.203228,0.434857
0.657000,0.867935,0.203522,0.434761
0.658000,0.867778,0.203816,0.434666
0.659000,0.867621,0.204110,0.434570
0.660000,0.867463,0.204403,0.434475
0.661000,0.867307,0.204697,0.434379
0.662000,0.867150,0.204991,0.434284
0.663000,0.866993,0.205284,0.434188
0.664000,0.866836,0.205578,0.434093
0.665000,0.866680,0.205871,0.433997
0.666000,0.866524,0.206164,0.433902
0.667000,0.866367,0.206457,0.433806
0.668000,0.866211,0.206751,0.433711
0.669000,0.866055,0.207044,0.433616
0.670000,0.865899,0.207337,0.433520
0.671000,0.865744,0.207630,0.433425
0.672000,0.865588,0.207923,0.433330
0.673000,0.865432,0.208216,0.433234
0.674000,0.865277,0.208508,0.433139
0.675000,0.865122,0.208801,0.433044
0.676000,0.864966,0.209094,0.432949
0.677000,0.864811,0.209386,0.432853
0.678000,0.864656,0.209679,0.432758
0.679000,0.864501,0.209971,0.432663
0.680000,0.864347,0.210263,0.432568
0.681000,0.864192,0.210556,0.432473
0.682000,0.864038,0.210848,0.432378
0.683000,0.863883,0.211140,0.432282
0.684000,0.863729,0.211432,0.432187
0.685000,0.863575,0.211724,0.432092
0.686000,0.863421,0.212016,0.431997
0.687000,0.863267,0.212308,0.431902
0.688000,0.863113,0.212600,0.431807
0.689000,0.862959,0.212891,0.431712
0.690000,0.862806,0.213183,0.431617
0.691000,0.862652,0.213475,0.431522
0.692000,0.862499,0.213766,0.431427
0.693000,0.862345,0.214058,0.431332
0.694000,0.862192,0.214349,0.431237
0.695000,0.862039,0.214640,0.431142
